n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
766,4.4794e-05,9.5812,766,7339.2,586756,4.49455e+08,1.04858e+06
768,4.5363e-05,9.58496,768,7361.25,589824,4.52985e+08,1.04858e+06
770,4.5373e-05,9.58871,770,7383.31,592900,4.56533e+08,1.04858e+06
772,4.6059e-05,9.59246,772,7405.38,595984,4.601e+08,1.04858e+06
774,4.6382e-05,9.59619,774,7427.45,599076,4.63685e+08,1.04858e+06
776,4.6817e-05,9.59991,776,7449.53,602176,4.67289e+08,1.04858e+06
778,4.6237e-05,9.60363,778,7471.62,605284,4.70911e+08,1.04858e+06
780,4.6243e-05,9.60733,780,7493.72,608400,4.74552e+08,1.04858e+06
782,4.577e-05,9.61102,782,7515.82,611524,4.78212e+08,1.04858e+06
784,4.4132e-05,9.61471,784,7537.93,614656,4.8189e+08,1.04858e+06
786,4.4319e-05,9.61839,786,7560.05,617796,4.85588e+08,1.04858e+06
788,4.4168e-05,9.62205,788,7582.18,620944,4.89304e+08,1.04858e+06
790,4.4104e-05,9.62571,790,7604.31,624100,4.93039e+08,1.04858e+06
792,4.4107e-05,9.62936,792,7626.45,627264,4.96793e+08,1.04858e+06
794,4.4214e-05,9.633,794,7648.6,630436,5.00566e+08,1.04858e+06
796,4.5041e-05,9.63662,796,7670.75,633616,5.04358e+08,1.04858e+06
798,4.5185e-05,9.64024,798,7692.92,636804,5.0817e+08,1.04858e+06
800,4.421e-05,9.64386,800,7715.08,640000,5.12e+08,1.04858e+06
802,4.4217e-05,9.64746,802,7737.26,643204,5.1585e+08,1.04858e+06
804,4.4628e-05,9.65105,804,7759.45,646416,5.19718e+08,1.04858e+06
806,4.4552e-05,9.65464,806,7781.64,649636,5.23607e+08,1.04858e+06
808,4.4125e-05,9.65821,808,7803.83,652864,5.27514e+08,1.04858e+06
810,4.4195e-05,9.66178,810,7826.04,656100,5.31441e+08,1.04858e+06
812,4.5188e-05,9.66534,812,7848.25,659344,5.35387e+08,1.04858e+06
814,4.5371e-05,9.66888,814,7870.47,662596,5.39353e+08,1.04858e+06
816,4.4465e-05,9.67243,816,7892.7,665856,5.43338e+08,1.04858e+06
818,4.459e-05,9.67596,818,7914.93,669124,5.47343e+08,1.04858e+06
820,4.4634e-05,9.67948,820,7937.17,672400,5.51368e+08,1.04858e+06
822,4.4415e-05,9.68299,822,7959.42,675684,5.55412e+08,1.04858e+06
824,4.4575e-05,9.6865,824,7981.68,678976,5.59476e+08,1.04858e+06
826,4.436e-05,9.69,826,8003.94,682276,5.6356e+08,1.04858e+06
828,4.5047e-05,9.69349,828,8026.21,685584,5.67664e+08,1.04858e+06
830,4.5296e-05,9.69697,830,8048.48,688900,5.71787e+08,1.04858e+06
832,4.4377e-05,9.70044,832,8070.77,692224,5.7593e+08,1.04858e+06
834,4.5424e-05,9.7039,834,8093.06,695556,5.80094e+08,1.04858e+06
836,4.644e-05,9.70736,836,8115.35,698896,5.84277e+08,1.04858e+06
838,4.6192e-05,9.71081,838,8137.66,702244,5.8848e+08,1.04858e+06
840,4.551e-05,9.71425,840,8159.97,705600,5.92704e+08,1.04858e+06
842,4.4212e-05,9.71768,842,8182.28,708964,5.96948e+08,1.04858e+06
